"","ctrl","stim","similarity","regroup","ctrl_cell_perc","stim_cell_perc","ctrl.vs.stim_separability"
"1","ctrl_6","stim_6",0.6,1,"0.04","0.04",0.24
"2","ctrl_2","stim_2",0.53,2,"0.12","0.11",0.55
"3","ctrl_1","stim_1",0.5,3,"0.18","0.21",0.78
"4","ctrl_5","stim_4",0.49,4,"0.08","0.07",5.01
"5","ctrl_4","stim_3",0.48,5,"0.09","0.11",0.55
"6","ctrl_0;ctrl_8","stim_0;stim_11",0.45,6,"0.31;0.02","0.28;0.01",11.03
"7","ctrl_7","stim_8",0.39,7,"0.03","0.03",7.05
"8","ctrl_10","stim_10",0.34,8,"0.01","0.01",0.55
"9","ctrl_3","stim_5;stim_7",0.3,9,"0.09","0.07;0.04",0.37
"10","ctrl_9",NA,NA,10,"0.02","NA",Inf
"11",NA,"stim_12",NA,11,"NA","0",Inf
"12",NA,"stim_9",NA,12,"NA","0.02",Inf
