"","p7d","p7e","similarity","regroup","p7d_cell_perc","p7e_cell_perc","p7d.vs.p7e_separability"
"1","p7d_4","p7e_1",0.65,1,"0.11","0.18",0.85
"2","p7d_2","p7e_3;p7e_4",0.5,2,"0.14","0.14;0.1",0.34
"3","p7d_5","p7e_0;p7e_2",0.47,3,"0.08","0.2;0.15",2.93
"4","p7d_6","p7e_5",0.44,4,"0.06","0.07",0.99
"5","p7d_12","p7e_9",0.42,5,"0.01","0.02",0.03
"6","p7d_10","p7e_8",0.4,6,"0.02","0.04",10.56
"7","p7d_0;p7d_8",NA,0.34,7,"0.17;0.06","NA",Inf
"8","p7d_7","p7e_6",0.33,8,"0.06","0.05",7.13
"9","p7d_11","p7e_7",0.29,9,"0.01","0.05",0.53
"10","p7d_1",NA,NA,10,"0.15","NA",Inf
"11","p7d_3",NA,NA,11,"0.11","NA",Inf
"12","p7d_9",NA,NA,12,"0.02","NA",Inf
